Variable,Description,Question Sample,Data Type,Notes
impact_area_energy,Impact area: Access to energy,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Access to energy,(Yes / No),Replaced null with 0
impact_area_finsrv,Impact area: Access to financial services,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Access to financial services,(Yes / No),Replaced null with 0
impact_area_information,Impact area: Access to information,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Access to information,(Yes / No),Replaced null with 0
impact_area_housing,Impact area: Affordable housing,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Affordable housing,(Yes / No),Replaced null with 0
impact_area_agprod,Impact area: Agriculture productivity,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Agriculture productivity,(Yes / No),Replaced null with 0
impact_area_biodiv,Impact area: Biodiversity conservation,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Biodiversity conservation,(Yes / No),"Replaced null with 0; data from 2015-2019, replaced impact_area_natbio in 2015"
impact_area_capacity,Impact area: Capacity building,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Capacity building,(Yes / No),Replaced null with 0
impact_area_commdev,Impact area: Community development,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Community development,(Yes / No),Replaced null with 0
impact_area_conflres,Impact area: Conflict Resolution,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Conflict Resolution,(Yes / No),Replaced null with 0; data from 2015-2019
impact_area_disease,Impact area: Disease-specific prevention and mitigation,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Disease-specific prevention and mitigation,(Yes / No),Replaced null with 0
impact_area_employ,Impact area: Employment generation,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Employment generation,(Yes / No),Replaced null with 0
impact_area_fueleff,Impact area: Energy and fuel efficiency,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Energy and fuel efficiency,(Yes / No),"Replaced null with 0; data from 2015-2019, replaced impact_area_efficiency in 2015"
impact_area_equality,Impact area: Equality and empowerment,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Equality and empowerment,(Yes / No),Replaced null with 0
impact_area_food,Impact area: Food security,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Food security,(Yes / No),Replaced null with 0
impact_area_charity,Impact area: Generate funds for charitable giving,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Generate funds for charitable giving,(Yes / No),Replaced null with 0
impact_area_health,Impact area: Health improvement,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Health improvement,(Yes / No),Replaced null with 0
impact_area_humrights,Impact area: Human rights protection or expansion,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Human rights protection or expansion,(Yes / No),Replaced null with 0; data from 2015-2019
impact_area_incgrowth,Impact area: Income/productivity growth,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Income/productivity growth,(Yes / No),Replaced null with 0
impact_area_natresources,Impact area: Natural resources conservation,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Natural resources conservation,(Yes / No),"Replaced null with 0; data from 2015-2019, replaced impact_area_natbio in 2015"
impact_area_natbio,Impact area: Natural resources/biodiversity,Which of the following impact objectives does your venture / currently seek to address? (check up to three)-Natural resources/biodiversity,(Yes / No),"Replaced null with 0; data from 2013-2014, split into separate variables impact_area_natresources and impact_area_biodiv in 2015"
impact_area_wastemgt,Impact area: Pollution prevention and waste management,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Pollution prevention and waste management,(Yes / No),Replaced null with 0
impact_area_efficiency,Impact area: Sustainable energy/fuel efficiency,Which of the following impact objectives does your venture / currently seek to address? (check up to three)-Sustainable energy/fuel efficiency,(Yes / No),"Replaced null with 0; data from 2013-2014, split into separate variables impact_area_fueleff and impact_area_sustenergy in 2015"
impact_area_sustenergy,Impact area: Sustainable energy,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Sustainable energy,(Yes / No),"Replaced null with 0; data from 2015-2019, replaced impact_area_efficiency in 2015"
impact_area_landuse,Impact area: Sustainable land use,Which of the following impact objectives does your venture / currently seek to address? (check up to three)-Sustainable land use,(Yes / No),Replaced null with 0
impact_area_highimpact,Impact area: Support for high-impact entrepreneurs,Which of the following impact objectives does your venture / currently seek to address? (check up to three)-Support for high-impact entrepreneurs,(Yes / No),"Replaced null with 0; data from 2013-2014, discontinued in 2015"
impact_area_watresmgmt,Impact area: Water resources management,Which of the following impact objectives does your venture / currently seek to address? (check up t...-Water resources management,(Yes / No),Replaced null with 0; data from 2015-2019
impact_area_womengirls,Impact area: Support for women and girls,Which of the following impact objectives does your venture / currently seek to address? (check up to three)-Support for women and girls,(Yes / No),Replaced null with 0; data from 2014-2019
impact_area_other,Impact area: Other,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Other,(Yes / No),Replaced null with 0
impact_demog_group,Demographic group impacted,What is the demographic group of the primary beneficiaries targeted by your venture's activities? (select one),"Pull down, select one",
impact_socioecon_group,Socioeconomic group impacted,What are the socioeconomic groups of the primary beneficiaries / targeted by your venture's operations? (select one),"Pull down, select one",
impact_use_iris,Venture uses IRIS measures,Does your venture regularly track itself against any of the Impact Reporting Investment Standards (IRIS) impact measures?,"(Yes, No)",
impact_use_blab_giirs,Venture uses GIIRS measures,Has your venture ever taken a B Impact Assessment or Global Impact Investing Ratings System (GIIRS) Survey?,"(Yes, No)",
impact_use_othermeasure,Venture uses another measurement approach,Does your venture regularly track its impacts using any other established measurement approaches?,"(Yes, No)",
accel_ben_rank_network,"Accelerator Benefit:  Network development (e.g., with potential partners and customers)","The following are some of the potential benefits that are typically associated with entrepreneurial accelerators. Please rank these benefits in terms of how important they are to your venture's development and success. - Network development (e.g., with potential partners and customers)",Ranking from 1 to 7,
accel_ben_rank_business_skills,"Accelerator Benefit:  Business skills development (e.g., with potential partners and customers)","The following are some of the potential benefits that are typically associated with entrepreneurial accelerators. Please rank these benefits in terms of how important they are to your venture's development and success (1 being the most important and 7 being the least important): Business skills development (e.g., with potential partners and customers)",Ranking from 1 to 7,
accel_ben_rank_mentorship,Accelerator Benefit:  Mentorship from business experts,The following are some of the potential benefits that are typically associated with entrepreneurial accelerators. Please rank these benefits in terms of how important they are to your venture's development and success (1 being the most important and 7 being the least important): Mentorship from business experts,Ranking from 1 to 7,
accel_ben_rank_access_investors,Accelerator Benefit:  Access and connections to potential investors/funders,The following are some of the potential benefits that are typically associated with entrepreneurial accelerators. Please rank these benefits in terms of how important they are to your venture's development and success (1 being the most important and 7 being the least important): Access and connections to potential investors/funders,Ranking from 1 to 7,
accel_ben_rank_direct_funding,"Accelerator Benefit:  Securing direct venture funding (e.g., grants or investments)","The following are some of the potential benefits that are typically associated with entrepreneurial accelerators. Please rank these benefits in terms of how important they are to your venture's development and success (1 being the most important and 7 being the least important): Securing direct venture funding (e.g., grants or investments)",Ranking from 1 to 7,
accel_ben_rank_access_entreprene,Accelerator Benefit:  Gaining access to a group of like-minded entrepreneurs,The following are some of the potential benefits that are typically associated with entrepreneurial accelerators. Please rank these benefits in terms of how important they are to your venture's development and success (1 being the most important and 7 being the least important): Gaining access to a group of like-minded entrepreneurs,Ranking from 1 to 7,
accel_ben_rank_aware_cred,"Accelerator Benefit:  Awareness and credibility (e.g., association with a recognized program, press/media exposure)","The following are some of the potential benefits that are typically associated with entrepreneurial accelerators. Please rank these benefits in terms of how important they are to your venture's development and success (1 being the most important and 7 being the least important): Awareness and credibility (e.g., association with a recognized program, press/media exposure)",Ranking from 1 to 7,
report_any_prior_accelerator,Value indicates whether founders participated in any prior accelerator programs,Calculated field,(Yes / No),Calculated from individual accelerator attendance variables.  
fu1-report_followup_yes,"Binary variable indicating the availability of first-year followup data (1 = Yes, 0 = No)",,,
fu1-New_External_ID,Refer to the definition of New_External_ID,,,
fu1-program_id,Refer to the definition of program_id,,,
fu1-program_year,Refer to the definition of program_year,,,
fu1-info_venture_country,Refer to the definition of info_venture_country,,,
fu1-info_legal_status,Refer to the definition of info_legal_status,,,
fu1-info_financial_goals,Refer to the definition of info_financial_goals,,,
fu1-info_has_targetmargin,Refer to the definition of info_has_targetmargin,,,
fu1-info_target_margin,Refer to the definition of info_target_margin,,,
fu1-info_has_socialmotives,Refer to the definition of info_has_socialmotives,,,
fu1-fins_revenues_m1,Refer to the definition of fins_revenues_m1,,,
fu1-fins_profit_m1,Refer to the definition of fins_profit_m1,,,
fu1-fins_ft_employees_m1,Refer to the definition of fins_ft_employees_m1,,,
fu1-fins_pt_employees_m1,Refer to the definition of fins_pt_employees_m1,,,
fu1-fins_wages_m1,Refer to the definition of fins_wages_m1,,,
fu1-inv_ownmoney_m1,Refer to the definition of inv_ownmoney_m1,,,
fu1-inv_equityfrom_spouses,Refer to the definition of inv_equityfrom_spouses,,,
fu1-inv_equityfrom_banks,Refer to the definition of inv_equityfrom_banks,,,
fu1-inv_equityfrom_nonbankfin,Refer to the definition of inv_equityfrom_nonbankfin,,,
fu1-inv_equityfrom_parents,Refer to the definition of inv_equityfrom_parents,,,
fu1-inv_equityfrom_angels,Refer to the definition of inv_equityfrom_angels,,,
fu1-inv_equityfrom_companies,Refer to the definition of inv_equityfrom_companies,,,
fu1-inv_equityfrom_govt,Refer to the definition of inv_equityfrom_govt,,,
fu1-inv_equityfrom_venturecap,Refer to the definition of inv_equityfrom_venturecap,,,
fu1-inv_equityfrom_na,Refer to the definition of inv_equityfrom_na,,,
fu1-inv_equityfrom_nonprofits,Refer to the definition of inv_equityfrom_nonprofits,,,
fu1-inv_equityfrom_accelerators,Refer to the definition of inv_equityfrom_accelerators,,,
fu1-inv_equityfrom_friendsfamily,Refer to the definition of inv_equityfrom_friendsfamily,,,
fu1-inv_equityfrom_bpcs,Refer to the definition of inv_equityfrom_bpcs,,,
fu1-inv_equityfrom_crowd,Refer to the definition of inv_equityfrom_crowd,,,
fu1-inv_equityfrom_nonowneremp,Refer to the definition of inv_equityfrom_nonowneremp,,,
fu1-inv_equityfrom_otherinds,Refer to the definition of inv_equityfrom_otherinds,,,
fu1-inv_equityfrom_other,Refer to the definition of inv_equityfrom_other,,,
fu1-inv_outequity_m1,Refer to the definition of inv_outequity_m1,,,
